address,time_stamp,user,collateral,debt,n1,n2,liquidation_discount,transaction_hash
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-21 16:24:11,0x7b0f06ae753a4557264b503d63bfe935aed9b07f,57920482117826123,93944874635467920028,0,9,60000000000000000,0xf65df897a0f8fc15297a240af75c28197bb6143bb1145968c7a1c358a5ad500f
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-22 06:27:35,0x5f55059a1bd5598053a2127d5f642ecd3a68eb3c,24672309622157688531,19000000000000000000000,74,83,60000000000000000,0xecede320ba6fbd66b60a435c8edd2fdb1a9057cdba28a4511412c283cbe6d700
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-22 07:06:35,0x90c0bf8d71369d21f8addf0da33d21dcb0b1c384,62438456285031007496,50000000000000000000000,70,79,60000000000000000,0xd86ab4ad94cb3a9e7c706ca5da3a1dea0ed24cf6ec51de10ca85512d9607cf90
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-22 09:47:47,0xbe78a774fa6d174fb36f8d9b41782be0aa0e54ce,31218510894789266073,50638370000000000000000,0,9,60000000000000000,0x33673767397907d4754c6fa475e2dc37dc21062f88fa1b582ce81de7457225b3
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-22 09:49:59,0xd50cbde55f8da4e8cf94f38deae2c722a5bd156b,72832567789405884661,90000000000000000000000,27,36,60000000000000000,0x5e0f67796481d477e028c39a153e5fb58850cfaa52e2f9f8c0b495c8de0338a6
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-22 22:58:59,0x3de338ecd19234437bdd453b841867c5a6e56056,4803216795306286272,7000566401796831683855,10,19,60000000000000000,0x6b96884426fe89ac8e7eb1bbda5f4a91f19dbc85af614a5848dda5b52953b86c
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-23 01:46:23,0x3e909f4eba38ddc71aa72e1ba3be7edd312818c2,47288378183705450570,45000000000000000000000,53,62,60000000000000000,0xa666ce69ef86669748d6254bd389fecf7b867c1ff1a1dd0c7277a1b2c2c434e5
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-23 02:15:35,0x6977e753e022f65ebeb170d8267b2ea54a431523,1008460869919189719,1652409265315617128055,1,5,60000000000000000,0xac8c6ef7e8878aff8e7328a8289c10ccf5483ffa33dcba4193c369bc687076dd
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-23 02:17:59,0x6977e753e022f65ebeb170d8267b2ea54a431523,1824852299561145126,2852409516614645088507,6,10,60000000000000000,0x10cb9f907f48571931f858cc5391411d0e39c0d65bba15b9d45857caf9b1592e
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-23 06:56:23,0x3c80a011d6dc046c46304c456e7f713e2efe2541,321638344001370974910,551237421568596767729580,-3,1,60000000000000000,0x7c191e4cbc046b70d1ea75e207b96207d23c496609204d94bef384b0d9d24589
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-23 10:21:23,0x791437cc4fa77c534b8b55d0cc6f06c9cab5ebb5,0,0,0,0,0,0xe9992696c075c669187a1be629bc19a018b65dbdf1fb0620feb8b1ea772b5cac
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-23 10:25:11,0xc343231ed2e07ff9b194c4f7f7c7d2733d537f4c,19040093668065947,31514163754610358847,-2,7,60000000000000000,0xb4b454491b0490663731f717cb627a82ad570a1245aa2ffdbe1ae2f983ae7d21
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-23 11:39:35,0x7c9f43215d3b3d5055433a9d7b12bcbf9f4be442,3649519778698803190,4400000000000000000000,29,39,60000000000000000,0xdc5d953dcb0546c2b929162bc1e644b1962f320f3800e577eaaa191ef37365b9
